drwxrwxrwx   - yarn   hadoop          0 2015-10-20 13:26 /app-logs
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:18 /app-logs/ambari-qa/logs/application_1445411028192_0008
-rw-r-----   2 ambari-qa hadoop       1783 2015-10-21 00:18 /app-logs/ambari-qa/logs/application_1445411028192_0008/mure04.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:19 /app-logs/ambari-qa/logs/application_1445411028192_0009
-rw-r-----   2 ambari-qa hadoop       7318 2015-10-21 00:18 /app-logs/ambari-qa/logs/application_1445411028192_0009/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       1592 2015-10-21 00:19 /app-logs/ambari-qa/logs/application_1445411028192_0009/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:20 /app-logs/ambari-qa/logs/application_1445411028192_0010
-rw-r-----   2 ambari-qa hadoop      24204 2015-10-21 00:20 /app-logs/ambari-qa/logs/application_1445411028192_0010/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:20 /app-logs/ambari-qa/logs/application_1445411028192_0011
-rw-r-----   2 ambari-qa hadoop       2666 2015-10-21 00:20 /app-logs/ambari-qa/logs/application_1445411028192_0011/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       6159 2015-10-21 00:20 /app-logs/ambari-qa/logs/application_1445411028192_0011/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:21 /app-logs/ambari-qa/logs/application_1445411028192_0012
-rw-r-----   2 ambari-qa hadoop      14837 2015-10-21 00:21 /app-logs/ambari-qa/logs/application_1445411028192_0012/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       9335 2015-10-21 00:21 /app-logs/ambari-qa/logs/application_1445411028192_0012/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:22 /app-logs/ambari-qa/logs/application_1445411028192_0013
-rw-r-----   2 ambari-qa hadoop       6211 2015-10-21 00:22 /app-logs/ambari-qa/logs/application_1445411028192_0013/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:23 /app-logs/ambari-qa/logs/application_1445411028192_0014
-rw-r-----   2 ambari-qa hadoop      11354 2015-10-21 00:23 /app-logs/ambari-qa/logs/application_1445411028192_0014/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       5465 2015-10-21 00:23 /app-logs/ambari-qa/logs/application_1445411028192_0014/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:35 /app-logs/ambari-qa/logs/application_1445411028192_0015
-rw-r-----   2 ambari-qa hadoop      25119 2015-10-21 00:35 /app-logs/ambari-qa/logs/application_1445411028192_0015/mure04.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:35 /app-logs/ambari-qa/logs/application_1445411028192_0016
-rw-r-----   2 ambari-qa hadoop       8138 2015-10-21 00:35 /app-logs/ambari-qa/logs/application_1445411028192_0016/mure04.cloud.hortonworks.com_45454
